bin_id,bin_center_um,bin_width_um,n_points,wavelength_angstrom,flux_ujy_weighted_mean,flux_ujy_weighted_sem,flux_flambda,flux_flambda_unc,ignored
1,0.744,0.022,2,7440.0,102.80128558559929,31.430616911362524,5.567668605342161e-26,1.7022672238686808e-26,0
2,0.766,0.022,3,7660.0,38.398678156528604,14.241753275170463,1.9619116137707365e-26,7.276568489445196e-27,0
3,0.788,0.022,3,7880.0,78.76963981958933,21.25313116221752,3.803007024351529e-26,1.0261035506128713e-26,0
4,0.81,0.022,2,8100.000000000001,111.5018212848989,31.57143758086367,5.094864361298059e-26,1.442596993592546e-26,0
5,0.832,0.022,2,8320.0,189.69798129668789,30.392361251242917,8.215552204282444e-26,1.3162503299414743e-26,0
6,0.853,0.022,2,8530.0,237.02997242350517,33.81911052483971,9.766206582452231e-26,1.3934289256476164e-26,0
7,0.875,0.022,2,8750.0,481.76060545154115,32.7147088590211,1.8864090916034056e-25,1.2809956547396327e-26,0
8,0.897,0.022,2,8970.0,811.6101987147376,36.04235515231449,3.0240106239249093e-25,1.3429164032743023e-26,0
9,0.919,0.022,2,9190.0,1036.226241962935,39.28410715920552,3.678275602616875e-25,1.3944616251038848e-26,0
10,0.941,0.022,2,9410.0,1290.049326320143,43.466839414058285,4.367649429843892e-25,1.4716330027896495e-26,0
11,0.963,0.022,2,9630.0,2010.9616443739933,46.96571404262885,6.500876504504695e-25,1.5182701658740827e-26,0
12,0.985,0.022,2,9850.0,2500.233182479283,50.74669792248543,7.725538419939983e-25,1.5680360025319286e-26,0
13,1.007,0.022,2,10069.999999999998,2811.073514405429,51.807737507959224,8.310630339385e-25,1.5316389021565917e-26,0
14,1.028,0.022,2,10280.0,3684.7119154662687,57.923918154284245,1.0452929285071698e-24,1.6432074861526763e-26,0
15,1.05,0.022,2,10500.0,4979.75632292743,62.163533230475984,1.3540983113754706e-24,1.6903545056806422e-26,0
16,1.072,0.022,2,10720.0,5848.657160512643,73.55186195723195,1.525763764679447e-24,1.9187783232828907e-26,0
17,1.094,0.022,1,10940.0,4870.021128661809,92.8401118200444,1.2198794192967606e-24,2.3255287544430453e-26,0
18,1.099,0.032,3,10990.0,4230.3056709239545,48.61862188632807,1.0500187822146461e-24,1.2067796068950839e-26,0
19,1.131,0.032,3,11310.0,3876.320948233904,45.2221400512988,9.084796871292454e-25,1.0598553678543289e-26,0
20,1.164,0.032,3,11640.0,4372.955019801301,48.65320515637746,9.6758639342774e-25,1.076530151643276e-26,0
21,1.196,0.032,2,11960.0,6856.284952417956,72.14650141502761,1.4369683495107667e-24,1.5120759971443003e-26,0
22,1.229,0.032,2,12290.000000000002,8610.257693538188,79.53103023019369,1.708964678500666e-24,1.578532563667305e-26,0
23,1.261,0.032,2,12609.999999999998,9410.310006100806,80.990746829197,1.7741668509949595e-24,1.526953927857105e-26,0
24,1.294,0.032,2,12940.0,9274.569885533667,82.25368756480061,1.6605269492992967e-24,1.472677079005445e-26,0
25,1.326,0.032,2,13260.0,6983.015465712931,69.29511218873495,1.1906295545853405e-24,1.1815068857475507e-26,0
26,1.359,0.032,2,13590.0,1650.0889999921221,42.17527535591674,2.678484630175958e-25,6.84604447486173e-27,0
27,1.391,0.032,2,13910.0,1851.2209418519385,42.06717025158863,2.8683008229388156e-25,6.517930751724904e-27,0
28,1.424,0.032,2,14240.0,1814.8255817847144,45.086456308108545,2.6830923238292582e-25,6.665716311425655e-27,0
29,1.456,0.032,2,14560.0,2669.130602659846,48.83881573133636,3.7745725535790547e-25,6.906580488234738e-27,0
30,1.489,0.032,2,14890.000000000002,4377.930605396446,56.70054983910982,5.91970657959231e-25,7.666878445614035e-27,0
31,1.521,0.032,2,15209.999999999998,6972.712077531535,68.38785615547647,9.035745854981673e-25,8.862194235427107e-27,0
32,1.554,0.032,2,15540.0,9828.385665152426,77.06038688187513,1.220115273876197e-24,9.566429141944605e-27,0
33,1.586,0.032,1,15860.0,10546.93929336849,113.9741859380949,1.2570159351194496e-24,1.358378615173536e-26,0
34,1.619,0.032,1,16190.0,10705.222459927025,107.5178064531005,1.2243982550855632e-24,1.2297232972466505e-26,0
35,1.636,0.046,3,16359.999999999998,9666.580564502874,63.251416100973515,1.082746975107508e-24,7.084747186206005e-27,0
36,1.682,0.046,3,16820.0,9157.365709593305,66.33907680090603,9.703742836594971e-25,7.029721884086521e-27,0
37,1.728,0.046,2,17280.0,7875.453232992901,76.05286604721168,7.906946194564301e-25,7.635699203424512e-27,0
38,1.775,0.046,2,17750.0,5123.970188063339,62.65636761514384,4.875628224235608e-25,5.961961977923612e-27,0
